Address,Balance
osmo193sl5tmmrkgq0k768jdyghfszgzqykxvaulqwp,1650203800
osmo1gnmtzrdsvrmlf85mc53vxd9wml94kgh4zw6xrn,245768513
osmo14zwaq087uar8ytldp7f9zyugggxumw7myhkdn8,2451336025
osmo1ha0cfwre0v22ymkt4trhs4hafv6v9w63xawft9,60878111782
osmo1eyv6z2h0xsl5hcynwd7rl06ce2krw954wmpw28,3796645670
osmo1ewu290xt5fhfz23jk34rq266ymzp6he6ahur7z,241119
osmo1rwqtcymwrm9eukgczd3jxp6dgvn43gm462e3d2,1002834
osmo1v7x5sekmhzrpyqpt3lzkmk6axgymaragcvgauk,663968074
osmo1dl9csz4dk0vzmd8qn9x080gx4mjtk2w9pxv9jr,3808241378
osmo1ur5vn4e0d7met7dnvqe46nz792y74ked4j2dtt,179869259854
osmo1l74n4u0xg3vlxnnucxgp480kxv6a769mx227d8,2529963
osmo1xq50t67y93mdzut3y06tv4k0gel7akq9r7dnmw,1320799
osmo12s3z6eeq8dem7gj92mg6au3vx04uqrn4eq33lq,11999996750
osmo1e5daruj3c80764k32dmsr4vdgna8nma24mukvp,4371378717
osmo1qlu3xeph3s4cy64xkkvl7msuqzqdek89ehhe04,156915613
osmo1p3afuvl3x8hdv4q0l5praavzmrhsc0qupwwc7y,157254934
osmo1zq2atge5df93w0l6xhm87r8uspjva632y3q49x,66840920
osmo1hqyr7t0shsqfl303cp7ea03fs2lfc5npavgtx7,1539169425
osmo16kfx2nhhg365g3hqgv0m98fkv55y6qp8uncdqd,675168577
osmo1855v9648p5r6kmr02s8llcn25eep4jf7ld2cq9,323256124903
osmo1jyhkv4tsecqw29z3hvx0n5ywdfheecmvn5nuun,10924082
osmo14fggnfx3tnx6lh4067dgx8fuajqz8pnmrne2et,812959
osmo1aygdt8742gamxv8ca99wzh56ry4xw5s3dtgtpf,222972963
osmo1yf6zjx395mfn0g46fa8s89f6s7cznxavd8c28n,148970439
osmo1xgqr7pn80g6w398wzdmye3lu6wsgk32s5dkvwl,619036070
osmo1jdmz9fkuv5yh35pqjdrk8lm0gcskzxc2rrmf8t,162013531
osmo10ka033a6vx803h7hd4mfe3l8ky0txwcqyunzdj,28854274
osmo13pdne9fzh39wtpkazg2qnf3weql43nlzzlg32t,142063954
osmo143u5leg7ujg2e4d9sd5sspadsnfr7tgc8xkgqp,787260222
osmo1e8597agptv59rnvl3rvk4pyjylm8syq6fgkls0,1035306
osmo1e4araf4pwm8y588zmr35nfgp885nsk0jhmjkcf,26659001
osmo1qpac8q0ky745zmfpenc5cnn8jd24vzrn360vz0,1668784982
osmo1xzjtfxylkascs8ngy47yquj6sn0s9fwsz0l3af,61834849303
